last_name, first_name,player_id,year,pa,bip,ba,est_ba,est_ba_minus_ba_diff,slg,est_slg,est_slg_minus_slg_diff,woba,est_woba,est_woba_minus_woba_diff
Choo, Shin-Soo,425783,2019,660,399,0.265,0.266,-0.001,0.455,0.48,-0.025,0.353,0.365,-0.012
Andrus, Elvis,462101,2019,648,514,0.275,0.275,0,0.393,0.407,-0.014,0.3,0.316,-0.016
Odor, Rougned,596059,2019,581,346,0.205,0.223,-0.018,0.439,0.471,-0.032,0.302,0.324,-0.022
Santana, Danny,542454,2019,511,328,0.283,0.276,0.007,0.534,0.502,0.032,0.352,0.346,0.006
Mazara, Nomar,608577,2019,469,327,0.268,0.269,-0.001,0.469,0.486,-0.017,0.327,0.341,-0.014
DeShields, Delino,592261,2019,408,267,0.249,0.219,0.03,0.347,0.32,0.027,0.295,0.278,0.017
Forsythe, Logan,523253,2019,367,219,0.227,0.238,-0.011,0.353,0.411,-0.058,0.298,0.325,-0.027
Calhoun, Willie,641432,2019,337,258,0.269,0.262,0.007,0.524,0.451,0.073,0.351,0.33,0.021
Pence, Hunter,452254,2019,316,219,0.297,0.281,0.016,0.552,0.506,0.046,0.377,0.359,0.018
Gallo, Joey,608336,2019,297,129,0.253,0.226,0.027,0.598,0.597,0.001,0.401,0.394,0.007
Guzman, Ronald,608597,2019,295,173,0.219,0.241,-0.022,0.414,0.438,-0.024,0.306,0.332,-0.026
Mathis, Jeff,425772,2019,244,142,0.158,0.163,-0.005,0.224,0.225,-0.001,0.19,0.196,-0.006
Kiner-Falefa, Isiah,643396,2019,222,155,0.238,0.227,0.011,0.322,0.308,0.014,0.272,0.268,0.004
