playerID,yearID,stint,TeamID,lgID,G,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,IBB,HBP,SH,SF,GIDP
abreujo02,2020,1,CHW,AL,162,648,116,205,41,0,51,162,0,0,49,159,3,8,0,3,27
acunaro01,2020,1,ATL,NL,124,432,124,108,30,0,38,78,22,3,103,162,5,11,0,0,8
adamewi01,2020,1,TBR,AL,146,500,78,130,41,3,22,62,5,3,54,200,0,0,0,0,11
adamsau02,2020,1,SDP,NL,3,3,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0
adamsma01,2020,1,ATL,NL,43,132,11,24,5,0,5,24,0,0,5,49,0,0,0,0,8
adelljo01,2020,1,LAA,AL,103,335,24,54,11,0,8,19,0,3,19,149,0,3,0,0,8
adriaeh01,2020,1,MIN,AL,119,240,27,46,19,0,0,8,3,0,30,62,0,3,0,0,8
aguilje01,2020,1,MIA,NL,138,508,84,140,27,0,22,92,0,3,62,108,0,3,0,11,14
ahmedni01,2020,1,ARI,NL,154,537,78,143,27,3,14,78,11,0,49,124,0,0,0,0,8
akiyash01,2020,1,CIN,NL,146,419,43,103,16,3,0,24,19,8,68,92,0,5,0,0,3
alberha01,2020,1,BAL,AL,146,591,95,167,41,0,8,59,8,0,14,81,0,8,5,5,16
albieoz01,2020,1,ATL,NL,78,319,57,86,14,0,16,51,8,3,14,81,0,3,0,0,0
alcanse01,2020,1,DET,AL,27,57,5,8,0,3,3,3,0,0,5,11,0,0,0,0,0
alfarjo01,2020,1,MIA,NL,84,251,32,57,5,0,8,43,5,0,11,97,3,8,0,0,5
alforan01,2020,1,TOT,MLB,49,76,14,16,0,3,5,19,8,0,3,22,0,0,0,0,0
allenau01,2020,1,OAK,AL,38,84,3,16,3,0,3,8,0,0,3,38,0,0,0,0,0
allengr01,2020,1,TOT,MLB,43,70,11,11,3,0,3,11,5,0,8,27,0,5,0,3,0
almonab01,2020,1,SDP,NL,19,30,0,3,0,0,0,0,3,3,5,11,0,0,0,0,0
almoral01,2020,1,CHC,NL,76,81,11,14,3,0,0,3,0,0,8,24,0,3,0,0,0
alonspe01,2020,1,NYM,NL,154,562,84,130,16,0,43,95,3,0,65,165,11,16,0,3,11
altavda01,2020,1,TOT,MLB,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
altuvjo01,2020,1,HOU,AL,130,518,86,113,24,0,14,49,5,8,46,105,0,3,0,0,14
alvared01,2020,1,MIA,NL,32,100,16,19,3,0,0,5,5,0,8,43,0,3,0,0,0
alvaryo01,2020,1,HOU,AL,5,22,5,5,0,0,3,11,0,0,0,3,0,3,0,0,3
anderbr06,2020,1,MIA,NL,159,540,73,138,19,3,30,103,0,0,59,178,3,16,0,3,5
anderti01,2020,1,CHW,AL,132,562,122,181,30,3,27,57,14,5,27,135,0,5,0,3,11
andruel01,2020,1,TEX,AL,78,278,30,54,14,0,8,19,8,3,22,41,0,0,0,0,14
andujmi01,2020,1,NYY,AL,57,167,14,41,5,3,3,14,0,0,8,24,0,0,0,0,3
apostsh01,2020,1,TEX,AL,19,54,3,5,3,0,0,0,0,0,3,24,0,0,0,0,0
aquinar01,2020,1,CIN,NL,62,127,19,22,3,0,5,22,3,0,16,49,0,8,0,0,3
arauzjo01,2020,1,BOS,AL,68,194,22,49,5,0,3,24,0,0,22,57,0,0,0,0,0
arciaor01,2020,1,MIL,NL,159,467,59,122,27,3,14,54,5,0,38,86,0,3,0,3,27
arenano01,2020,1,COL,NL,130,491,62,124,24,0,22,70,0,0,41,54,8,0,0,11,19
arozara01,2020,1,TBR,AL,62,173,41,49,5,0,19,30,11,0,16,59,0,14,0,3,5
arraelu01,2020,1,MIN,AL,86,302,43,97,24,0,0,35,0,0,22,30,0,0,0,3,5
arroych01,2020,1,TOT,AL,41,135,19,32,3,0,8,22,0,0,11,30,0,0,0,0,5
astudwi01,2020,1,MIN,AL,22,43,11,11,3,0,3,8,0,0,0,5,0,0,0,0,0
avilaal01,2020,1,MIN,AL,62,132,16,24,5,0,3,5,0,0,30,59,0,5,0,0,5
baderha01,2020,1,STL,NL,135,286,57,65,19,5,11,30,8,3,35,108,0,14,0,3,5
baezja01,2020,1,CHC,NL,159,599,73,122,24,3,22,65,8,0,19,203,0,11,0,5,22
